subject;AQ;group;session;daysInBetween;pictureCondition;cancel;ACC;RT1;RTTot;delta_ACC;delta_RT1;delta_RTTot;roi_efield;P99_efield;perc_overlap;volume_roi;volume_P99;volume_overlap
7;15;2;1;3;5;0;6;15785;25234;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;2;0;6;9641;13958;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;2;1;6;13587;19655;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;3;1;0;30380;45088;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;5;0;6;12761;18955;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;1;0;6;7215;14025;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;1;0;6;9802;16573;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;3;0;3;16976;30547;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;5;0;4;24485;33313;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;5;0;6;8896;17190;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;1;1;6;12082;18673;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;3;0;6;23369;31713;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;2;0;2;28449;41018;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;3;0;0;34055;42256;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;5;1;0;22736;38859;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;3;0;6;19327;27899;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;1;0;0;14225;27417;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;1;0;6;12177;21521;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;2;3;2;0;6;11240;17206;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
